model,timestamp,n_examples,overall_acc,unknown_count,dataset
gemma4:e2b,20260511_192503,2600,52.3,0,nycc
gemma4:e4b,20260511_193241,2600,53.7,1,nycc
qwen3.5:9b,20260511_194058,2600,52.4,0,nycc
qwen3:4b,20260511_195220,300,52.0,3,nycc
gemma4-e2b-discord,20260517_223929,2616,49.8,0,nycc
gemma4-e4b-discord,20260517_225004,2616,50.6,0,nycc
qwen3.5:4b,20260605_195431,2616,55.9,0,nycc
qwen9b-degpt-dpo,20260606_143452,2616,51.5,0,nycc
qwen3.5:4b,20260606_160418,5,80.0,0,nycc
qwen3.5:4b,20260606_160537,10,80.0,0,nycc
qwen3.5:4b,20260606_161001,10,80.0,0,nycc
qwen3.5:4b,20260606_161412,10,80.0,0,nycc
qwen3.5:4b-gut,20260606_164323,2616,55.2,0,nycc
qwen3.5:4b-no-gut,20260606_170659,2616,54.5,0,nycc
qwen3.5:4b-thinking,20260606_173213,1000,55.0,2,nycc
qwen4b-degpt-dpo-gut,20260606_211636,1000,53.6,0,nycc
qwen4b-degpt-dpo-no-gut,20260606_212714,1000,53.5,2,nycc
qwen4b-degpt-dpo-thinking,20260606_213955,1000,52.2,1,nycc
qwen4b-degpt-dpo-gut,20260608_162758,2000,63.4,0,shp
qwen4b-degpt-dpo-no-gut,20260608_165204,2000,63.8,0,shp
qwen4b-degpt-dpo-thinking,20260608_171631,2000,59.7,48,shp
qwen3.5:4b-gut,20260609_015718,2000,63.2,0,shp
qwen3.5:4b-no-gut,20260609_021708,2000,63.2,0,shp
qwen3.5:4b-thinking,20260609_023754,2000,59.8,42,shp
hermes-3-8b-gut,20260612_161420,2000,55.6,0,nycc
discord-hermes-3-8b-gut,20260612_162531,2000,50.6,4,nycc
hermes-3-8b-no-gut,20260612_162939,2000,55.4,2,nycc
discord-hermes-3-8b-no-gut,20260612_163628,2000,49.6,0,nycc
llama-3.1-8b-instruct-gut,20260612_165137,2000,49.4,10,nycc
llama-3.1-8b-instruct-no-gut,20260612_170433,2000,51.0,5,nycc
hermes-3-8b-gut,20260612_180001,2000,49.8,10,haha-pairwise
discord-hermes-3-8b-gut,20260612_180612,2000,51.0,0,haha-pairwise
llama-3.1-8b-instruct-gut,20260612_181236,2000,45.7,231,haha-pairwise
hermes-3-8b-no-gut,20260612_183830,2000,52.0,0,haha-pairwise
discord-hermes-3-8b-no-gut,20260612_184502,2000,50.5,0,haha-pairwise
hermes-3-8b,20260613_004555,671,0.2275,0,haha-rating
discord-hermes-3-8b,20260613_004941,1000,0.015,0,haha-rating
llama-3.1-8b-instruct,20260613_005355,971,0.2772,0,haha-rating
discord-hermes-3-8b-no-gut,20260617_085122,2000,55.8,18,shp
hermes-3-8b-no-gut,20260617_092909,2000,59.5,0,shp
qwen3.5:4b-thinking,20260617_150533,1000,51.3,10,nycc
qwen3.5:4b-thinking,20260617_215510,2000,53.2,12,nycc
qwen4b-humor-reward,20260619_101254,2616,52.4,0,nycc-reward
qwen4b-humor-reward,20260620_114108,2831,49.9,0,haha-reward-test
qwen4b-probe-humicro,20260622_114332,2831,51.8,0,haha-probe-xdomain-layer16
qwen3.5:4b-crowd,20260622_154550,2000,54.2,0,nycc
qwen3.5:4b-crowd,20260622_155815,2000,54.4,0,haha-pairwise
qwen3.5:4b-no-gut,20260623_121312,2628,56.3,0,humicroedit-pairwise
